algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
adaptdroid_0,atm,standard,wm,36.0,55.0,64.0,79.0,82.0,0.4944595515434447,2.5109620094299316,-1.0
craftdroid,union,googleplay,wm,33.0,53.0,64.0,78.0,87.0,0.48471222138418163,3.3249731063842773,-1.0
craftdroid,intersection,googleplay,wm,36.0,59.0,73.0,80.0,84.0,0.5228899582681561,2.4685990810394287,-1.0
craftdroid,craftdroid,googleplay,wm,34.0,54.0,68.0,79.0,88.0,0.4969043396107825,2.362244129180908,-1.0
craftdroid,atm,googleplay,wm,38.0,62.0,74.0,80.0,84.0,0.5336452948855618,2.7974190711975098,-1.0
custom,union,googleplay,wm,47.0,67.0,87.0,98.0,101.0,0.5897869730843869,2.447939872741699,-1.0
custom,intersection,googleplay,wm,46.0,69.0,82.0,89.0,98.0,0.5981349729828433,2.286655902862549,-1.0
custom,craftdroid,googleplay,wm,43.0,67.0,83.0,95.0,103.0,0.5802867306797329,2.1820971965789795,-1.0
custom,atm,googleplay,wm,52.0,73.0,87.0,97.0,99.0,0.6281441738338293,1.8567709922790527,-1.0
atm_0,union,googleplay,wm,35.0,72.0,91.0,99.0,104.0,0.5863503734827268,1.93870210647583,-1.0
atm_0,intersection,googleplay,wm,41.0,67.0,81.0,88.0,90.0,0.571718138955347,1.7968871593475342,-1.0
atm_0,craftdroid,googleplay,wm,34.0,70.0,90.0,98.0,104.0,0.5781333510415663,1.839468002319336,-1.0
atm_0,atm,googleplay,wm,45.0,72.0,85.0,94.0,97.0,0.5957279382494901,1.8376309871673584,-1.0
adaptdroid_0,union,googleplay,wm,37.0,53.0,66.0,73.0,80.0,0.4895290495243285,1.8695399761199951,-1.0
adaptdroid_0,intersection,googleplay,wm,37.0,55.0,65.0,75.0,77.0,0.4989859183447873,1.820430040359497,-1.0
adaptdroid_0,craftdroid,googleplay,wm,37.0,55.0,65.0,74.0,85.0,0.49827429551028074,1.8282840251922607,-1.0
adaptdroid_0,atm,googleplay,wm,36.0,55.0,67.0,78.0,81.0,0.4974509243904461,1.799576759338379,-1.0
craftdroid,union,android,w2v,23.0,59.0,69.0,81.0,87.0,0.4562247883798942,2.1597259044647217,-1.0
craftdroid,intersection,android,w2v,26.0,60.0,70.0,82.0,89.0,0.47531914392935015,2.3326802253723145,-1.0
craftdroid,craftdroid,android,w2v,24.0,59.0,70.0,82.0,88.0,0.4643118162945083,2.2045438289642334,-1.0
craftdroid,atm,android,w2v,28.0,62.0,71.0,82.0,88.0,0.4847334843781734,2.0735628604888916,-1.0
custom,union,android,w2v,40.0,75.0,87.0,98.0,104.0,0.579803951593879,1.8143291473388672,-1.0
custom,intersection,android,w2v,36.0,62.0,81.0,92.0,97.0,0.540469621221515,1.9006590843200684,-1.0
custom,craftdroid,android,w2v,43.0,76.0,87.0,95.0,100.0,0.5945893067660311,1.8256189823150635,-1.0
custom,atm,android,w2v,40.0,71.0,89.0,98.0,101.0,0.5825679500475325,1.7990992069244385,-1.0
atm_0,union,android,w2v,29.0,63.0,71.0,85.0,93.0,0.5051341603570085,1.8068292140960693,-1.0
atm_0,intersection,android,w2v,30.0,57.0,68.0,84.0,91.0,0.49184200619483354,1.8058581352233887,-1.0
atm_0,craftdroid,android,w2v,26.0,60.0,70.0,85.0,92.0,0.48852485588226185,1.831669807434082,-1.0
atm_0,atm,android,w2v,35.0,65.0,73.0,90.0,96.0,0.5342620486775381,1.8333370685577393,-1.0
adaptdroid_0,union,android,w2v,27.0,43.0,54.0,64.0,72.0,0.42071480095066666,1.8118860721588135,-1.0
adaptdroid_0,intersection,android,w2v,34.0,52.0,67.0,72.0,79.0,0.483413804076855,1.812464952468872,-1.0
adaptdroid_0,craftdroid,android,w2v,31.0,48.0,60.0,68.0,74.0,0.454384797952157,1.81669282913208,-1.0
adaptdroid_0,atm,android,w2v,32.0,53.0,64.0,70.0,78.0,0.47470243327383277,1.8108947277069092,-1.0
craftdroid,union,blogs,w2v,28.0,54.0,65.0,77.0,81.0,0.4612183655830903,2.0829861164093018,-1.0
craftdroid,intersection,blogs,w2v,27.0,52.0,61.0,70.0,80.0,0.45009190386660025,2.0896570682525635,-1.0
craftdroid,craftdroid,blogs,w2v,27.0,52.0,65.0,77.0,81.0,0.4543218138589524,2.0459070205688477,-1.0
craftdroid,atm,blogs,w2v,30.0,55.0,62.0,70.0,80.0,0.46458287266791387,2.0455968379974365,-1.0
custom,union,blogs,w2v,41.0,66.0,79.0,94.0,98.0,0.5594972228819779,1.8156428337097168,-1.0
custom,intersection,blogs,w2v,30.0,55.0,74.0,79.0,84.0,0.4905066164026475,1.7946219444274902,-1.0
custom,craftdroid,blogs,w2v,41.0,66.0,82.0,91.0,97.0,0.5667589745402813,1.81489896774292,-1.0
custom,atm,blogs,w2v,34.0,60.0,77.0,83.0,85.0,0.5124709405335539,1.8150436878204346,-1.0
atm_0,union,blogs,w2v,29.0,62.0,71.0,79.0,87.0,0.4975445504323482,1.842432975769043,-1.0
atm_0,intersection,blogs,w2v,34.0,60.0,75.0,85.0,91.0,0.5198853119125785,1.8063569068908691,-1.0
atm_0,craftdroid,blogs,w2v,24.0,57.0,68.0,78.0,86.0,0.4705451768812504,1.8321030139923096,-1.0
atm_0,atm,blogs,w2v,42.0,66.0,76.0,89.0,93.0,0.5613132934461039,1.8172121047973633,-1.0
adaptdroid_0,union,blogs,w2v,29.0,47.0,58.0,70.0,78.0,0.4423676681416276,1.8091950416564941,-1.0
adaptdroid_0,intersection,blogs,w2v,35.0,50.0,64.0,72.0,75.0,0.48210085243872364,1.795870065689087,-1.0
adaptdroid_0,craftdroid,blogs,w2v,32.0,50.0,63.0,72.0,81.0,0.46548279126575837,1.8597209453582764,-1.0
adaptdroid_0,atm,blogs,w2v,38.0,51.0,65.0,74.0,77.0,0.4964011818043144,1.8414661884307861,-1.0
craftdroid,union,standard,w2v,29.0,54.0,70.0,78.0,88.0,0.47482432065342833,2.063594102859497,-1.0
craftdroid,intersection,standard,w2v,27.0,58.0,67.0,80.0,89.0,0.47740875552103773,2.047861099243164,-1.0
craftdroid,craftdroid,standard,w2v,29.0,54.0,72.0,79.0,89.0,0.4802551136602862,2.061264991760254,-1.0
craftdroid,atm,standard,w2v,29.0,58.0,67.0,79.0,89.0,0.4800223296863361,2.03829288482666,-1.0
custom,union,standard,w2v,46.0,73.0,81.0,93.0,99.0,0.5999934691745037,1.8106980323791504,-1.0
custom,intersection,standard,w2v,40.0,69.0,79.0,89.0,97.0,0.5722458175535124,1.7942910194396973,-1.0
custom,craftdroid,standard,w2v,40.0,68.0,80.0,90.0,98.0,0.5664225607050152,1.8069801330566406,-1.0
custom,atm,standard,w2v,44.0,72.0,84.0,94.0,98.0,0.5927496575669683,1.791593074798584,-1.0
atm_0,union,standard,w2v,31.0,60.0,75.0,87.0,88.0,0.5134396306683325,1.7954308986663818,-1.0
atm_0,intersection,standard,w2v,37.0,67.0,79.0,90.0,95.0,0.5603569241125901,1.8140807151794434,-1.0
atm_0,craftdroid,standard,w2v,27.0,59.0,75.0,86.0,89.0,0.4953041661966613,1.8064689636230469,-1.0
atm_0,atm,standard,w2v,42.0,73.0,79.0,92.0,96.0,0.5835543326642398,1.8011441230773926,-1.0
adaptdroid_0,union,standard,w2v,36.0,51.0,61.0,71.0,76.0,0.4827781074037881,1.7978737354278564,-1.0
