algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
custom,craftdroid,googleplay,wm,167.0,205.0,208.0,213.0,216.0,0.8703293940850497,3.3875892162323,-1.0
custom,atm,googleplay,wm,174.0,212.0,213.0,214.0,215.0,0.8839394265864855,3.351641893386841,-1.0
atm_0,union,googleplay,wm,130.0,183.0,207.0,211.0,215.0,0.7772580235249927,3.39809513092041,-1.0
atm_0,intersection,googleplay,wm,154.0,198.0,208.0,212.0,215.0,0.8441840838899662,3.368654727935791,-1.0
atm_0,craftdroid,googleplay,wm,137.0,182.0,206.0,210.0,213.0,0.787119730445523,3.4145569801330566,-1.0
atm_0,atm,googleplay,wm,160.0,200.0,209.0,213.0,213.0,0.850236741639457,3.4199109077453613,-1.0
adaptdroid_0,union,googleplay,wm,150.0,175.0,185.0,192.0,194.0,0.7828252425986656,3.4210150241851807,-1.0
adaptdroid_0,intersection,googleplay,wm,149.0,174.0,182.0,191.0,197.0,0.7793572452449218,3.3725380897521973,-1.0
adaptdroid_0,craftdroid,googleplay,wm,150.0,177.0,186.0,194.0,196.0,0.7861310274372558,3.392822027206421,-1.0
adaptdroid_0,atm,googleplay,wm,150.0,174.0,181.0,192.0,197.0,0.7815496606726313,3.366602897644043,-1.0
craftdroid,union,android,w2v,134.0,190.0,201.0,205.0,210.0,0.7745160356752051,3.8233067989349365,-1.0
craftdroid,intersection,android,w2v,143.0,196.0,205.0,211.0,215.0,0.8169332589747813,3.798844814300537,-1.0
craftdroid,craftdroid,android,w2v,125.0,189.0,201.0,203.0,210.0,0.7608713470305166,3.8410370349884033,-1.0
craftdroid,atm,android,w2v,148.0,200.0,207.0,212.0,215.0,0.8287717472838578,3.808143138885498,-1.0
custom,union,android,w2v,139.0,192.0,206.0,210.0,211.0,0.7888324910383735,3.390346050262451,-1.0
custom,intersection,android,w2v,137.0,200.0,206.0,209.0,214.0,0.8070776634125051,3.3544960021972656,-1.0
custom,craftdroid,android,w2v,121.0,191.0,200.0,213.0,213.0,0.7595796360502243,3.3865089416503906,-1.0
custom,atm,android,w2v,150.0,202.0,207.0,211.0,216.0,0.8266944844999143,3.3618929386138916,-1.0
atm_0,union,android,w2v,102.0,139.0,180.0,194.0,201.0,0.6615608574208716,3.3834731578826904,-1.0
atm_0,intersection,android,w2v,128.0,196.0,204.0,208.0,212.0,0.7833923607229429,3.3711559772491455,-1.0
atm_0,craftdroid,android,w2v,107.0,152.0,184.0,194.0,202.0,0.686780788854133,3.3883988857269287,-1.0
atm_0,atm,android,w2v,124.0,191.0,201.0,209.0,211.0,0.7619637892943718,3.3703370094299316,-1.0
adaptdroid_0,union,android,w2v,116.0,143.0,161.0,171.0,181.0,0.6655490130134777,3.4110751152038574,-1.0
adaptdroid_0,intersection,android,w2v,125.0,157.0,170.0,175.0,183.0,0.7048940960794594,3.689079761505127,-1.0
